parameter_set_id,parameter_version,event_id,run_id,scene_id,prn,center_window_id,event_utc,environment_class,special_condition,road_type,elevation_deg,elevation_band,environment_modeling_ready,elevation_modeling_ready,confirmed_path_count,elevation_modeling_ready_path_count,max_excess_delay_chips,median_excess_delay_chips,mean_excess_delay_chips,max_excess_delay_s,max_excess_path_length_m,min_relative_doppler_hz,max_relative_doppler_hz,relative_doppler_span_hz,median_relative_doppler_hz,min_relative_power_db,max_relative_power_db,median_relative_power_db,parameter_source_status
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_757,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G27,757,2026-01-20T15:36:15.120Z,Special Reflective,bridge over wide water surface,bridge over water,22,LOW,1,1,1,1,0.32,0.32,0.32,3.12805474096e-07,93.776721955,58.8072704798,58.8072704798,0,58.8072704798,-5.19406710916,-5.19406710916,-5.19406710916,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_796,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G27,796,2026-01-20T15:36:15.900Z,Special Reflective,bridge over wide water surface,bridge over water,22,LOW,1,1,1,1,0.28,0.28,0.28,2.73704789834e-07,82.0546317107,60.3353163244,60.3353163244,0,60.3353163244,-4.7135463388,-4.7135463388,-4.7135463388,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_822,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G27,822,2026-01-20T15:36:16.420Z,Special Reflective,bridge over wide water surface,bridge over water,22,LOW,1,1,1,1,0.26,0.26,0.26,2.54154447703e-07,76.1935865885,60.9873821455,60.9873821455,0,60.9873821455,-6.55295075544,-6.55295075544,-6.55295075544,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_823,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G27,823,2026-01-20T15:36:16.440Z,Special Reflective,bridge over wide water surface,bridge over water,22,LOW,1,1,1,1,0.27,0.27,0.27,2.63929618768e-07,79.1241091496,61.1312042917,61.1312042917,0,61.1312042917,-5.90480848254,-5.90480848254,-5.90480848254,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_845,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G27,845,2026-01-20T15:36:16.880Z,Special Reflective,bridge over wide water surface,bridge over water,22,LOW,1,1,1,1,0.26,0.26,0.26,2.54154447703e-07,76.1935865885,54.2952915097,54.2952915097,0,54.2952915097,-2.29558115603,-2.29558115603,-2.29558115603,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_846,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G27,846,2026-01-20T15:36:16.900Z,Special Reflective,bridge over wide water surface,bridge over water,22,LOW,1,1,1,1,0.26,0.26,0.26,2.54154447703e-07,76.1935865885,59.4391136559,59.4391136559,0,59.4391136559,-2.79065278139,-2.79065278139,-2.79065278139,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_847,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G27,847,2026-01-20T15:36:16.920Z,Special Reflective,bridge over wide water surface,bridge over water,22,LOW,1,1,1,1,0.27,0.27,0.27,2.63929618768e-07,79.1241091496,59.5829358023,59.5829358023,0,59.5829358023,-3.18327858084,-3.18327858084,-3.18327858084,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G29__ch4__nav_sage_v2__ingestion_20260825_event_path_v1__event_560,F1023_V70_D0120_P9__G29__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G29,560,2026-01-20T15:35:41.180Z,Special Reflective,bridge over wide water surface,bridge over water,28,LOW,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,10.8005277009,10.8005277009,0,10.8005277009,-7.17440666457,-7.17440666457,-7.17440666457,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G31__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_1476,F1023_V70_D0120_P9__G31__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G31,1476,2026-01-20T15:36:17.500Z,Special Reflective,bridge over wide water surface,bridge over water,29,LOW,1,1,1,1,0.12,0.12,0.12,1.17302052786e-07,35.1662707331,12.3993980751,12.3993980751,0,12.3993980751,-3.0453886384,-3.0453886384,-3.0453886384,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G31__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_449,F1023_V70_D0120_P9__G31__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G31,449,2026-01-20T15:35:56.960Z,Special Reflective,bridge over wide water surface,bridge over water,29,LOW,1,1,1,1,0.1,0.1,0.1,9.77517106549e-08,29.3052256109,-0.157565694562,-0.157565694562,0,-0.157565694562,0.339070822742,0.339070822742,0.339070822742,complete
