event_id,run_id,scene_id,prn,center_window_id,recording_time_s,tow_s,event_utc,elevation_deg,azimuth_deg,tracking_cn0_db_hz,nmea_snr_db_hz,vehicle_speed_kmh,speed_source,geometry_join_status,geometry_join_valid,geometry_join_method,geometry_source_utc,geometry_time_delta_s,time_alignment_id,missing_reason,observation_quality,derivation_version,context_alignment_version
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_2582,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,2582,88.7480000977517,228147.62,2026-01-20T15:22:09.620Z,74.000,249.000,48.6535873413086,49.000,NaN,fallback_120_kmh,valid,1,tow_to_utc_nearest_gsv,2026-01-20T15:22:09.000Z,0.62,F1023_V70_D0120_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_2583,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,2583,88.7680001955034,228147.64,2026-01-20T15:22:09.640Z,74.000,249.000,48.6301345825195,49.000,NaN,fallback_120_kmh,valid,1,tow_to_utc_nearest_gsv,2026-01-20T15:22:09.000Z,0.64,F1023_V70_D0120_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_597,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,597,49.0478704789834,228107.92,2026-01-20T15:21:29.920Z,74.000,250.000,49.7488632202148,50.000,2.12683679989968,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-20T15:21:30.000Z,0.08,F1023_V70_D0120_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_598,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,598,49.0678705767351,228107.94,2026-01-20T15:21:29.940Z,74.000,250.000,49.8243293762207,50.000,1.97015759998176,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-20T15:21:30.000Z,0.06,F1023_V70_D0120_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_429,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G27,429,45.6987320625611,228104.56,2026-01-20T15:21:26.560Z,17.000,268.000,39.5230178833008,39.000,4.86705600000949,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-20T15:21:27.000Z,0.44,F1023_V70_D0120_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_430,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G27,430,45.7187320625611,228104.58,2026-01-20T15:21:26.580Z,17.000,268.000,39.540943145752,39.000,4.78556800005218,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-20T15:21:27.000Z,0.42,F1023_V70_D0120_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_431,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G27,431,45.7387321603128,228104.6,2026-01-20T15:21:26.600Z,17.000,268.000,39.477352142334,39.000,4.70407999997628,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-20T15:21:27.000Z,0.4,F1023_V70_D0120_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1216,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,1216,61.4350205278592,228120.3,2026-01-20T15:21:42.300Z,34.000,76.000,43.0983047485352,43.000,2.25017999995796,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-20T15:21:42.000Z,0.3,F1023_V70_D0120_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1217,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,1217,61.4550206256109,228120.32,2026-01-20T15:21:42.320Z,34.000,76.000,43.1297416687012,43.000,2.32240800002523,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-20T15:21:42.000Z,0.32,F1023_V70_D0120_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1218,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,1218,61.4750207233627,228120.34,2026-01-20T15:21:42.340Z,34.000,76.000,43.091236114502,43.000,2.39463599998739,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-20T15:21:42.000Z,0.34,F1023_V70_D0120_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
