event_id,run_id,scene_id,prn,center_window_id,recording_time_s,tow_s,event_utc,elevation_deg,azimuth_deg,tracking_cn0_db_hz,nmea_snr_db_hz,vehicle_speed_kmh,speed_source,geometry_join_status,geometry_join_valid,geometry_join_method,geometry_source_utc,geometry_time_delta_s,time_alignment_id,missing_reason,observation_quality,derivation_version
F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_429,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G27,429,45.6987320625611,228104.56,,,,39.5230178833008,,4.86705600000949,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_430,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G27,430,45.7187320625611,228104.58,,,,39.540943145752,,4.78556800005218,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_431,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G27,431,45.7387321603128,228104.6,,,,39.477352142334,,4.70407999997628,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1216,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,1216,61.4350205278592,228120.3,,,,43.0983047485352,,2.25017999995796,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1217,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,1217,61.4550206256109,228120.32,,,,43.1297416687012,,2.32240800002523,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1218,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,1218,61.4750207233627,228120.34,,,,43.091236114502,,2.39463599998739,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1646,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,1646,70.0350635386119,228128.9,,,,43.3082962036133,,3.226184000011,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2098,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,2098,79.0751086021505,228137.94,,,,43.3332443237305,,15.9438679999972,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2100,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,2100,79.115108797654,228137.98,,,,43.4020080566406,,15.8957159999874,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2593,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,2593,88.9751580645161,228147.84,,,,43.2382850646973,,NaN,fallback_120_kmh,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2594,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,2594,88.9951582600196,228147.86,,,,43.2404594421387,,NaN,fallback_120_kmh,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_540,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,540,77.9152038123167,228136.78,,,,43.2215118408203,,16.3583455999962,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_783,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,783,82.775228054741,228141.64,,,,45.4858360290527,,6.05011360006132,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_784,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,784,82.7952281524927,228141.66,,,,45.6118965148926,,6.13789840001533,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_785,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,785,82.8152282502444,228141.68,,,,45.773307800293,,6.22568319996934,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_157,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,157,70.2551654936461,228129.12,,,,47.9164009094238,,3.3595279999875,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_469,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,469,76.4951966764418,228135.36,,,,42.0784645080566,,9.28815039990117,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_471,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,471,76.5351968719453,228135.4,,,,41.5017929077148,,9.57113599995882,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_594,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,594,78.9952091886608,228137.86,,,,42.3420257568359,,16.0401720000168,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_1086,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G18,1086,59.5366983382209,228477.7,,,,49.1608085632324,,35.9762111997558,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_1087,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G18,1087,59.5566984359726,228477.72,,,,49.1903839111328,,35.6191455999428,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_1088,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G18,1088,59.5766984359726,228477.74,,,,49.2306213378906,,35.2620800001299,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_874,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G18,874,55.2966860215054,228473.46,,,,48.0219383239746,,324.83616999925,NMEA_RMC,deferred_unavailable,0,,,,,verified_time_alignment_not_available,inconclusive,sage-event-path-derivation-v1
