event_id,run_id,scene_id,prn,event_status,confirmed_event,event_utc,environment_class,geometry_join_status,geometry_join_valid,include_in_environment_modeling,include_in_elevation_modeling,exclusion_reason,alignment_id,alignment_version
F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_430,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G27,rejected_candidate,0,2026-01-20T15:21:26.580Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_431,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G27,rejected_candidate,0,2026-01-20T15:21:26.600Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1216,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,rejected_candidate,0,2026-01-20T15:21:42.300Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1217,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,rejected_candidate,0,2026-01-20T15:21:42.320Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1218,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,confirmed_multipath,1,2026-01-20T15:21:42.340Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1646,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,rejected_candidate,0,2026-01-20T15:21:50.900Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2098,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,rejected_candidate,0,2026-01-20T15:21:59.940Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2100,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,rejected_candidate,0,2026-01-20T15:21:59.980Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2593,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,confirmed_multipath,1,2026-01-20T15:22:09.840Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2594,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,confirmed_multipath,1,2026-01-20T15:22:09.860Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_540,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,rejected_candidate,0,2026-01-20T15:21:58.780Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_783,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,rejected_candidate,0,2026-01-20T15:22:03.640Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_784,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,confirmed_multipath,1,2026-01-20T15:22:03.660Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_785,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,rejected_candidate,0,2026-01-20T15:22:03.680Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_157,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,rejected_candidate,0,2026-01-20T15:21:51.120Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_469,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,confirmed_multipath,1,2026-01-20T15:21:57.360Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_471,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,confirmed_multipath,1,2026-01-20T15:21:57.400Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_594,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,confirmed_multipath,1,2026-01-20T15:21:59.860Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_1086,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G18,rejected_candidate,0,2026-01-20T15:27:39.700Z,Urban,valid,1,1,1,,F1023_V70_D0120_P5__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_1087,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G18,rejected_candidate,0,2026-01-20T15:27:39.720Z,Urban,valid,1,1,1,,F1023_V70_D0120_P5__tow_to_utc_v1,sage-event-context-alignment-v1
